mins_played,shots,xg_per_shot,is_forward,goals,shot_conv,name,team,actual_goals,counterfactual_goals,causal_advantage,display_name,Club,Shot Conversion (%),Actual Goals,Goals At Median Conversion,Causal Finishing Advantage
2588,68,0.14,1,15,22.06,Antoine Semenyo,Manchester City FC,15.0,11.9,3.08,Semenyo,Manchester City FC,22.1,15,11.9,3.08
1813,51,0.11,0,7,13.73,Phil Foden,Manchester City FC,7.0,7.6,-0.63,Foden,Manchester City FC,13.7,7,7.6,-0.63
1499,41,0.1,0,5,12.2,Tijjani Reijnders,Manchester City FC,5.0,6.3,-1.32,Reijnders,Manchester City FC,12.2,5,6.3,-1.32
2001,63,0.11,1,6,9.52,Bukayo Saka,Arsenal FC,6.0,8.5,-2.51,Saka,Arsenal FC,9.5,6,8.5,-2.51
1504,49,0.08,0,6,12.24,Eberechi Eze,Arsenal FC,6.0,7.3,-1.3,Eze,Arsenal FC,12.2,6,7.3,-1.3
1900,43,0.22,1,11,25.58,Viktor Gyökeres,Arsenal FC,11.0,6.3,4.65,Gyökeres,Arsenal FC,25.6,11,6.3,4.65
2604,26,0.11,0,5,19.23,Martín Zubimendi,Arsenal FC,5.0,3.2,1.82,Zubimendi,Arsenal FC,19.2,5,3.2,1.82
1685,44,0.11,1,5,11.36,Leandro Trossard,Arsenal FC,5.0,6.7,-1.69,Trossard,Arsenal FC,11.4,5,6.7,-1.69
1864,43,0.1,1,5,11.63,Crysencio Summerville,West Ham United FC,5.0,6.6,-1.57,Summerville,West Ham United FC,11.6,5,6.6,-1.57
2018,32,0.15,0,9,28.12,Bruno Guimarães,Newcastle United FC,9.0,3.2,5.79,Guimarães,Newcastle United FC,28.1,9,3.2,5.79
