competition,player_id,name,first_name,last_name,team,position,age,apps,mins_played,goals,xg,goals_vs_xg,shots,shots_on_target,shot_conv,xg_per_shot,mins_per_goal
Premier League,106611,Michael Keane,Michael,Keane,Everton FC,Defender,33.22,27,2137,3,1.94,1.06,21,6,14.29,0.09,712.3333333333334
Premier League,232928,James Garner,James,Garner,Everton FC,Midfielder,25.05,31,2784,2,1.91,0.09,41,12,4.88,0.05,1392.0
Premier League,491007,Dário Essugo,Dário,Cassia Luís Essugo,Chelsea FC,Midfielder,21.05,0,0,0,0.0,0.0,0,0,0.0,0.0,
Premier League,586309,Thierno Barry,Thierno,Barry,Everton FC,Forward,23.44,31,1645,6,6.14,-0.14,32,10,18.75,0.19,274.1666666666667
Premier League,486385,Beto,Norberto Bercique,Gomes Betuncal,Everton FC,Forward,28.17,31,1205,6,7.17,-1.17,32,13,18.75,0.22,200.83333333333334
Premier League,551210,Jorrel Hato,Jorrel,Hato,Chelsea FC,Defender,20.07,16,640,0,0.31,-0.31,4,0,0.0,0.08,
Premier League,609873,Harrison Armstrong,Harrison,Armstrong,Everton FC,Midfielder,19.19,11,499,0,0.79,-0.79,5,2,0.0,0.16,
Premier League,475168,João Pedro,João Pedro,Junqueira de Jesus,Chelsea FC,Forward,24.51,31,2323,14,13.54,0.46,63,27,22.22,0.21,165.92857142857142
Premier League,215413,Kiernan Dewsbury-Hall,Kiernan,Dewsbury-Hall,Everton FC,Midfielder,27.57,24,2013,6,3.32,2.68,30,11,20.0,0.11,335.5
Premier League,247632,Pedro Neto,Pedro,Lomba Neto,Chelsea FC,Forward,26.06,29,2219,5,4.35,0.65,40,11,12.5,0.11,443.8
Premier League,17761,James Tarkowski,James,Tarkowski,Everton FC,Defender,33.37,30,2700,1,2.3,-1.3,15,7,6.67,0.15,2700.0
Premier League,179268,Marc Cucurella,Marc,Cucurella,Chelsea FC,Defender,27.7,27,2080,1,1.72,-0.72,16,4,6.25,0.11,2080.0
Premier League,444463,Wesley Fofana,Wesley,Fofana,Chelsea FC,Defender,25.29,19,1277,0,0.6,-0.6,6,0,0.0,0.1,
Premier League,513466,Merlin Röhl,Merlin,Röhl,Everton FC,Midfielder,23.74,12,358,0,0.64,-0.64,7,0,0.0,0.09,
Premier League,574458,Mamadou Sarr,Mamadou,Sarr,Chelsea FC,Defender,20.59,2,91,0,0.44,-0.44,1,0,0.0,0.44,
Premier League,80801,Idrissa Gueye,Idrissa,Gueye,Everton FC,Midfielder,36.52,22,1851,2,1.5,0.5,26,6,7.69,0.06,925.5
Premier League,244851,Cole Palmer,Cole,Palmer,Chelsea FC,Midfielder,23.9,20,1426,9,8.59,0.41,45,19,20.0,0.19,158.44444444444446
Premier League,224967,Vitalii Mykolenko,Vitalii,Mykolenko,Everton FC,Defender,26.84,26,2330,0,0.29,-0.29,9,2,0.0,0.03,
Premier League,463034,Liam Delap,Liam,Delap,Chelsea FC,Forward,23.14,22,791,1,3.92,-2.92,31,11,3.23,0.13,791.0
Premier League,480455,Jarrad Branthwaite,Jarrad,Branthwaite,Everton FC,Defender,23.76,8,504,1,0.29,0.71,5,2,20.0,0.06,504.0
Premier League,448047,Enzo Fernández,Enzo,Fernández,Chelsea FC,Midfielder,25.2,30,2583,8,10.42,-2.42,60,27,13.33,0.17,322.875
Premier League,433154,Dwight McNeil,Dwight,McNeil,Everton FC,Forward,26.36,18,947,0,1.08,-1.08,17,5,0.0,0.06,
Premier League,532605,Andrey Santos,Andrey,Nascimento dos Santos,Chelsea FC,Midfielder,21.91,23,1003,0,1.7,-1.7,8,1,0.0,0.21,
Premier League,577016,Josh Acheampong,Josh,Acheampong,Chelsea FC,Defender,19.9,12,572,1,0.6,0.4,3,2,33.33,0.2,572.0
Premier League,109646,Tosin Adarabioyo,Tosin,Adarabioyo,Chelsea FC,Defender,28.52,15,744,0,0.11,-0.11,2,0,0.0,0.05,
Premier League,490094,Tim Iroegbunam,Tim,Iroegbunam,Everton FC,Midfielder,22.75,23,1108,0,0.47,-0.47,9,1,0.0,0.05,
Premier League,493105,Alejandro Garnacho,Alejandro,Garnacho,Chelsea FC,Forward,21.75,20,1125,1,3.11,-2.11,28,7,3.57,0.11,1125.0
Premier League,243571,Nathan Patterson,Nathan,Patterson,Everton FC,Defender,24.46,6,239,0,0.03,-0.03,1,1,0.0,0.03,
